'L眶内缘点', 'L眶外缘点', 'L眶下缘点', 'L眶上中点', 'L下颌角点', 'L下犬齿齿槽缘点', 'L第一上磨牙点', 'L第一下磨牙点', 'L尖牙窝点', 'L下颌支中部后点', 'L颧点', 'L颞额颧点', 'L第二上磨牙点', 'L第二下磨牙点', 'L下颌缘中点', 'L颏孔点', 'L上切牙点', 'L上犬齿齿槽缘点', 'L下颌小舌点', 'L颧弓点', 'L颧眶点', 'L下鼻根点', 'L鼻甲嵴点', 'L颧颌点', 'R眶内缘点', 'R眶外缘点', 'R眶下缘点', 'R眶上中点', 'R下颌角点', 'R下犬齿齿槽缘点', 'R第一上磨牙点', 'R第一下磨牙点', 'R尖牙窝点', 'R下颌支中部后点', 'R颧点', 'R颞额颧点', 'R第二上磨牙点', 'R第二下磨牙点', 'R下颌缘中点', 'R颏孔点', 'R上切牙点', 'R上犬齿齿槽缘点', 'R下颌小舌点', 'R颧弓点', 'R颧眶点', 'R下鼻根点', 'R鼻甲嵴点', 'R颧颌点', '鼻骨末端点', '下齿槽点', '鼻中点', '上齿槽前缘点', '眉间点', '鼻棘下点', '鼻根点',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.58,-132.74,50.91,143.53,-126.41,50.94,126.28,-133.56,34.49,126.24,-137.52,68.59,148.35,-69.14,-24.32,108.32,-140.08,-30.99,126.7,-120.57,-9.39,124.62,-116.13,-27.99,112.64,-135.85,2.01,148.99,-68.9,-2.04,153.87,-112.48,39.68,147.24,-124.09,62.37,130.01,-108.85,-7.46,127.86,-107.15,-24.49,131.04,-112.96,-50.93,121.43,-125.63,-43.87,100.25,-149.96,-19.17,115.18,-141.18,-9.72,145.55,-77.69,-4.79,161.87,-85.25,34.49,143.19,-128.92,34.85,99.22,-138.33,59.01,104.11,-148.26,28.41,143.97,-117.2,13.31,89.43,-131.97,51.21,48.19,-124.56,51.25,66.21,-133.79,34.27,66.12,-136.38,68.74,43.13,-70.23,-26.78,82.34,-140.3,-31.87,63.16,-119.09,-9.99,66.78,-116.69,-29.49,78.28,-135.24,2.3,40.82,-67.52,-0.96,37.56,-109.87,39.64,44.19,-119.04,61.38,59.47,-109.55,-6.81,62.37,-108.08,-25.85,61.97,-115.44,-51.95,71.14,-127.03,-44.96,91.04,-150.42,-19.07,75.48,-141.3,-10.8,42.84,-74.51,-5.87,28.71,-83.36,34.26,48.09,-126.465,34.14,93.16,-137.81,58.98,88.91,-146.74,28.23,45.77,-115.55,13.87,96.95,-150.98,43.41,96.14,-143.46,-29.38,96.75,-141.81,51.16,95.48,-146.99,-11.28,96.82,-143.58,72.73,95.39,-144.24,-2.47,96.8,-139.7,60.76
101.045,-153.81,34.02,138.185,-141.735,33.975,119.56,-152.26,17.32,119.46,-152.835,51.075,141.65,-92.7,-40.375,104.8,-149.06,-44.055,120.005,-136.5,-19.205,120.76,-128.21,-38.25,104.92,-152.1,-11.71,143.375,-91.89,-17.17,146.725,-127.3,20.045,142,-139.215,41.65,121.58,-124.965,-15.265,124.195,-121.555,-32.365,125.535,-125.92,-59.645,114.61,-137.27,-55.69,94.225,-160.71,-31.795,106.885,-154.795,-23.61,142.42,-98.04,-19.175,154.65,-101.81,10.59,137.53,-145.3,10.785,94.72,-157.055,39.945,99.715,-162.835,10.39,137.955,-137.355,-5.085,80.305,-152,33.415,43.68,-138.77,33.805,62.365,-150.77,16.56,62.25,-151.4,50.98,42.295,-92.04,-43.95,77.91,-147.645,-43.84,61.27,-135.23,-20.02,62.425,-125.53,-38.785,75.525,-152.03,-13.685,40.515,-88.65,-20.435,34.855,-121.82,20.815,40.21,-134.01,40.675,59.595,-123.255,-15.605,59.315,-118.73,-32.105,58.905,-125.55,-59.68,67.515,-134.995,-54.81,85.855,-160.68,-31.93,73.465,-153.965,-24.22,41.325,-95.92,-17.07,27.63,-96.495,9.575,43.155,-143.905,9.54,86.36,-156.015,39.275,81.38,-162.805,10.195,41.835,-134.255,-7.015,90.06,-169.455,15.34,91.3,-152.28,-42.405,90.47,-162.34,27.765,90.195,-159.825,-25.27,91.02,-158.435,53.865,90.165,-157.505,-15.035,90.9,-157.395,41.555
105.165,-136,34.09,143.175,-127.115,34.09,123.985,-136.405,17.625,124.11,-135.18,50.955,146.345,-76.945,-38.765,107.635,-135.895,-49.11,124.99,-123.74,-22.71,123.34,-116.41,-40.305,110.37,-137.285,-14.04,150.2,-76.775,-16.165,150.83,-115.505,18.74,146.1,-122.035,43.49,128.43,-115.715,-17.705,127.64,-108.11,-33.74,128.35,-109.99,-60.45,121.29,-118.68,-57.65,100.425,-150.845,-36.095,114.12,-141.56,-26.615,147.715,-83.51,-16.305,160.355,-86.165,12.52,143.205,-130.105,12.435,100.76,-139.195,40.45,103.535,-147.63,13.015,142.145,-123.92,-5.21,85.885,-135.8,33.79,48.755,-125.955,33.865,67.15,-135.59,16.715,67.09,-134.575,50.91,45.585,-74.375,-40.78,81.095,-134.27,-49.31,64.115,-119.34,-23.435,67.12,-113.785,-41.74,78.955,-136.69,-14.285,43.48,-74.625,-17.275,40.375,-113.01,19.015,45.6,-120.9,42.67,63.25,-110.58,-19.075,64.01,-104.99,-34.68,64.195,-109.8,-61.015,73.635,-120.795,-58.215,90.3,-150.835,-36.525,76.365,-141.005,-27.14,45.615,-82.51,-15.12,31.53,-86.205,13,49.015,-129.655,13.08,90.27,-139.605,40.265,86.77,-148.39,12.855,48.385,-120.61,-5.085,95.43,-153.165,19.895,95.07,-139.745,-47.485,95.165,-144.355,31.34,94.85,-148.265,-29.07,94.87,-140.605,55.7,94.615,-143.895,-17.08,94.985,-140.77,44.175
104.825,-142.095,29.98,143.32,-137.985,29.955,125.695,-143.045,16.405,125.605,-146.69,48.61,143.95,-89.605,-39.495,112.265,-152.365,-38.245,128.335,-131.745,-16.685,126.885,-131.38,-34.46,113.855,-145.595,-8.35,147.455,-85.145,-15.215,152.965,-124.945,19.175,145.765,-136.65,42.575,129.485,-121.76,-13.315,129.485,-119.465,-30.41,128.77,-126.63,-57.4,121.9,-138.645,-50.895,100.91,-159.385,-24.005,116.03,-151,-17.055,146.31,-91.96,-14.78,161.03,-94.875,13.75,143.77,-138.48,13.735,99.935,-148.615,40.71,104.895,-152.71,15.86,143.06,-132.155,-1.885,86.67,-142.85,30,48.615,-136.09,29.905,65.94,-143.2,16.355,66.095,-145.835,48.39,49.055,-89.375,-39.435,83.025,-152.82,-36.925,63.735,-131.375,-17.415,67.45,-132.2,-34.18,80.065,-146.675,-9.22,46.18,-85.125,-16.71,40.01,-124.11,18.79,45.985,-133.54,41.185,63.53,-121.47,-13.35,64.63,-121.215,-30.4,65.14,-128.51,-55.22,71.47,-139.505,-48.725,91.535,-158.965,-24.165,76.71,-150.905,-18.665,46.16,-91.195,-14.56,32.57,-94.29,13.025,47.115,-137.185,13,91.4,-148.11,40.635,88.805,-153,15.86,48.8,-132.905,-1.955,96.385,-156.245,24.05,97.875,-155.445,-36.365,96.61,-149.645,31.735,96.355,-156.19,-18.26,96.63,-151.475,55.525,96.86,-152.97,-9.065,96.33,-149.15,41.615
103.675,-133.91,41.655,144.87,-125.335,41.54,124.83,-131.895,24.925,124.89,-137.335,58.83,148.215,-74.155,-38.84,109.815,-136.715,-45.375,127.615,-116.985,-17.4,124.28,-118.045,-36.85,112.53,-133.12,-7.04,150.4,-70.955,-12.14,154.535,-110.95,29.835,146.845,-122.865,51.75,129.56,-108.345,-15.975,128.35,-108.81,-34.065,129.28,-111.12,-62.255,119.755,-121.765,-54.125,101.785,-146.935,-26.91,114.75,-137.145,-17.155,148.35,-79.405,-13.83,163.965,-83.495,22.495,145.36,-126.535,22.405,100.475,-139.06,50.215,103.09,-143.97,18.175,145.75,-119.065,4.79,86.195,-133.735,41.345,46.23,-123.03,41.5,65.135,-130.93,24.92,65.23,-135.4,58.64,47.73,-72.91,-40.75,85.06,-137.295,-45.75,66.095,-118.61,-18.075,69.25,-117.04,-37.485,79.805,-132.995,-6.805,44.37,-70.07,-14.67,36.675,-107.795,29.045,43.375,-120.115,50.135,63.445,-109.13,-16.125,66.635,-108.71,-35.17,63.85,-110.065,-61.055,74.005,-121.675,-55.895,92.855,-147.115,-27.49,77.705,-137.76,-16.69,46.28,-78.785,-14.74,28.075,-83.98,20.52,46.41,-124.99,20.425,89.295,-138.595,50.46,87.58,-143.99,18.13,45.39,-117.43,5.085,95.44,-149.095,26.3,96.91,-140.67,-42.375,94.93,-139.21,38.65,96.705,-144.16,-19.645,95.04,-143.54,62.855,95.77,-140.395,-8.765,95.01,-140.235,51.945
95.45,-130.735,32.86,136.58,-120.55,33.14,116.095,-129.42,17.145,115.08,-133.47,52.685,143.485,-70.455,-51.155,104.415,-137.595,-44.555,119.935,-117.4,-24.985,118.465,-115.56,-41.03,104.025,-132.8,-12.375,140.225,-67.155,-20.475,146.095,-104.815,19.215,139.095,-120.685,46.02,122.945,-109.085,-22.665,122.11,-105.64,-39.4,129.125,-110.11,-65.745,116.625,-125.415,-59.075,94.11,-149.155,-33.12,106.89,-139.405,-23.54,137.96,-76.42,-23.135,155.58,-84.665,13.98,136.69,-122.795,13.66,91.31,-134.965,39.46,95.235,-140.795,16.045,136.37,-114.365,-3.385,77.345,-130.895,33.655,37.25,-123.66,32.885,57.38,-131.865,17.775,56.44,-134.875,53.105,36.85,-79.32,-54.47,74.995,-137.335,-46.41,57.475,-120.095,-26.49,60.035,-114.07,-43.775,71.205,-134.645,-14.49,38.185,-73.66,-24.055,29.27,-110.975,19.17,34.49,-123.4,47.355,53.94,-112.145,-24.355,56.565,-105.795,-40.425,57.435,-119.595,-67.365,68.71,-129.39,-59.855,84.735,-149.305,-33.535,70.48,-140.745,-25.535,40.845,-83.295,-25.19,20.145,-86.65,13.16,37.695,-127.375,12.995,81.775,-135.415,40.415,77.02,-141.975,15.905,37.16,-119.49,-4.945,85.525,-147.99,23.305,91.235,-141.71,-44.73,86.005,-139.115,32.705,89.165,-145.855,-26.075,86.805,-141.57,60.425,88.09,-142.78,-13.275,86.82,-137.485,43.03
101.92,-138.185,40.155,141.46,-128.845,39.8,121.49,-136.24,21.855,121.57,-140.03,58.555,143.885,-79.62,-39.26,108.545,-143.95,-41.275,122.26,-125.31,-15.775,121.18,-123.395,-33.5,107.815,-141.545,-7.27,147.475,-79.315,-15.235,150.585,-114.56,25.96,144.64,-126.2,48.8,126.61,-114.28,-13.025,126.52,-112.465,-28.91,127.335,-119.085,-55.555,118.43,-129.18,-52.295,98.17,-156.825,-27.21,111.525,-145.815,-16.845,146.435,-86.455,-12.755,159.65,-91.19,20.34,141.5,-129.24,20.35,99.19,-142.615,48.82,101.71,-153.53,19.755,140.79,-124.83,2.55,85.625,-138.91,39.43,45.99,-127.115,39.85,65.09,-136.21,21.28,65.17,-138.815,57.795,47.425,-79.93,-41.75,79.39,-144.135,-42.965,63.465,-124.435,-17.51,65.92,-123.095,-35.47,77.79,-140.7,-7.15,42.02,-77.86,-16.415,36.485,-112.95,25.6,42.63,-124.675,49.605,60.42,-112.27,-14.83,61.575,-112.515,-30.945,61.25,-118.915,-55.83,71.525,-129.73,-53.605,88.87,-156.305,-27.645,75.1,-146.73,-17.48,42.36,-84.1,-13.395,27.325,-84.615,18.785,45.98,-128.9,18.655,88.85,-144.005,49.435,86.645,-154.17,16.805,44.005,-122.765,1.775,95.91,-159.505,30.705,93.58,-148.65,-39.345,94.075,-148.14,40.15,93.44,-154.25,-20.76,94.855,-146.18,62.57,93.35,-149.755,-9.735,93.77,-144.83,51.795
83.1,-110.53,114.08,120.78,-103.355,114.015,101.175,-111.515,97.75,101.14,-115.145,132.885,121.175,-57.86,34.225,88.53,-117.14,35.94,102.64,-99.47,58.79,100.15,-96.885,41.635,89.115,-115.225,67.765,123.24,-54.065,60.56,127.57,-87.025,103.9,122.805,-99.48,124.585,104.38,-90.11,60.165,103.43,-87.33,46.455,105.77,-92.66,16.755,98.865,-103.45,22.485,81.125,-125.3,48.045,93.295,-118.42,57.6,121.355,-61.715,56.96,135.85,-62.18,94.72,121.325,-103.73,94.63,79.89,-116.545,123.125,81.93,-123.19,95.435,120.29,-95.95,78.66,67.195,-111.59,113.865,29.2,-103.945,113.94,48.43,-113.215,97.52,48.51,-114.05,133.045,27.215,-56.545,33.905,61.49,-118.18,36.35,46.43,-102.1,57.795,48.125,-98.615,40.93,59.61,-116.18,68.08,25.515,-54.36,60.655,22.085,-88.91,103.71,26.66,-101.105,124.835,43.695,-93.02,59.05,44.97,-88.075,44.125,43.33,-94.73,16.765,51.595,-105.465,23.74,71.94,-126.3,48.13,56.93,-120.935,57.815,27.205,-60.23,59.34,13.375,-64.635,94.035,28.03,-104.945,93.975,70.69,-117.145,123.47,67.195,-124.925,94.98,30.835,-98.4,76.295,74.73,-129.055,103.92,74.745,-120.585,36.605,74.72,-120.145,114.07,75.535,-125.39,56.61,74.86,-120.38,136.75,74.675,-122.81,68.675,75.1,-118.365,125.275
98.97,-129.705,32.82,137.44,-123.12,32.635,118.235,-131.83,16.33,118.27,-132.275,49.875,135.32,-69.685,-39.82,101.455,-131.445,-43.58,118.69,-118.26,-21.805,116.35,-112.58,-37.535,103.795,-134.69,-11.61,138.695,-65.96,-17.81,144.875,-110.03,19.505,139.19,-120.88,44.09,120.505,-109.255,-19.34,118.87,-103.7,-34.425,122.66,-106.16,-57.715,112.27,-119.36,-53.93,90.94,-142.375,-32.87,104.835,-137.695,-23.53,137.775,-76.815,-19.72,154.075,-74.62,10.535,136.985,-123.99,10.53,92.365,-134.805,37.2,96.72,-141.455,12.815,135.56,-121.87,-1.895,78.1,-129.815,32.595,40.985,-120.1,32.81,59.99,-130.28,15.81,60.045,-130.35,50.43,40.125,-73.085,-40.405,75.15,-131.99,-43.93,56.585,-116.655,-21.68,59.14,-112.67,-38.445,70.605,-132.665,-10.22,36.24,-67.11,-17.765,33.43,-106.995,19.535,39.66,-116.99,43.44,54.98,-106.275,-19.63,56.345,-102.88,-35.04,54.81,-107.49,-58.535,65.335,-119.98,-54.06,82.52,-142.56,-32.6,69.13,-135.645,-22.3,37.475,-75.6,-19.19,23.92,-75.285,13.05,40.685,-122.475,12.98,84.955,-135.25,37.06,78.795,-140.87,13.52,39.755,-118.665,-2.56,88.085,-146.945,18.585,87.93,-134.645,-41.715,88.315,-139.615,27.675,86.97,-141.305,-25.43,88.96,-137.805,52.06,87.33,-138.98,-15.435,88.875,-136.09,38.835
97.415,-143.595,35.115,138.45,-136.04,35.03,118.325,-144.025,20.145,118.2,-146.555,54.635,135.795,-84.87,-45.655,97.205,-150.3,-39.995,112.995,-134.585,-19.835,110.855,-133.865,-34.44,101.475,-149.965,-8.775,138.695,-83.36,-18.895,147.285,-124.085,20.56,140.865,-135.025,45.59,116.29,-128.07,-16.55,115.085,-123.4,-33.5,119.985,-122.645,-57.88,105.93,-138.64,-48.55,89.615,-160.16,-28.08,103.625,-152.975,-20.1,137.785,-93.1,-16.92,156.81,-93.42,13.225,139.33,-138.92,13.055,92.28,-152.65,48.225,96.14,-162.34,16.95,135.905,-133.505,-3,75.805,-143.38,34.97,34.295,-133.77,35.005,52.425,-143.015,19.855,52.43,-144.535,54.55,35.32,-81.835,-45.305,69.43,-149.54,-39.615,57.24,-135.11,-19.92,56.89,-131.335,-35.39,68.405,-150.12,-9.27,31.31,-80.15,-18.115,25.635,-121.295,23.155,31.735,-131.785,45.4,54.135,-127.36,-17.56,53.99,-120.595,-32.945,50.35,-122.47,-59.165,58.375,-134.03,-50.78,81.05,-159.85,-28.275,66.14,-153.58,-19.975,33.115,-89.905,-19.775,14.045,-92.735,13.99,32.555,-136.43,13.625,81.115,-151.82,48.745,75.725,-161.875,16.65,36.14,-131.215,-2.97,85.85,-168.975,26.495,83.35,-152.61,-38.295,86.34,-157.395,36.985,84.87,-159.16,-21.505,86.935,-155.63,58.79,85.18,-158.34,-8.625,86.49,-153.15,50.235
84.63,-117.75,119.025,121.215,-108.005,119.04,104.685,-116.44,102.83,104.69,-118.765,136.04,124.205,-56.815,46.86,93.24,-115.485,39.475,107.075,-95.835,65.13,105.815,-95.16,47.41,90.925,-115.365,70.4,127.505,-55.495,69.15,130.595,-93.75,108.235,123.715,-106.765,131.16,108.52,-87.435,66.995,110.725,-85.32,53.94,108.865,-94.365,25.225,102.065,-105.995,31.82,80.65,-125.9,54.045,94.765,-117.945,62.3,126.19,-64.21,70.085,141.475,-63.78,99.81,122.2,-109.59,99.78,79.65,-123.13,128.14,83.28,-126.845,100.65,121.695,-102.625,82.42,64.895,-117.65,118.975,29.205,-107.185,118.865,47.03,-117.475,103.305,46.965,-117.74,137.445,27.87,-60.465,39.525,59.17,-116.375,38.34,43.7,-98.805,62.405,45.005,-94.72,45.115,59.265,-116.53,70.635,22.285,-56.805,64.265,19.42,-91.08,107.135,25.995,-104.575,129.395,42.095,-90.265,67.15,39.615,-86.265,50.775,44.43,-96.295,22.41,50.61,-105.785,27.45,71.915,-126.435,53.95,57.335,-119.59,61.91,22.68,-63.91,66.245,8.325,-63.51,97.105,28.33,-108.835,96.935,70.5,-122.68,128.22,68.055,-127.68,100.05,28.125,-101.55,81.055,75.545,-131.23,103.155,76.32,-119.715,40.23,75.35,-125.09,116.615,75.96,-124.055,60.57,75.495,-125.535,142.315,75.69,-121.885,71.73,75.275,-123.975,129.26
106.75,-129.93,37.15,149.22,-119.28,37.23,126.7,-127.84,19.92,126.88,-133.67,56.32,149.52,-67.44,-45.3,108.04,-135.92,-51.83,127.51,-111.23,-23.36,125.94,-113.59,-45.37,113.84,-128.86,-13.94,152.96,-65.25,-17.31,159.79,-104.3,24.07,151.75,-118.43,46.66,131.19,-103.23,-19.69,131.27,-101.83,-40.12,129.78,-111.955,-69.63,118.33,-125.96,-58.97,99.46,-141.33,-31.59,116.75,-131.95,-24.52,153.17,-75.29,-17.77,167.93,-77.86,20.49,148.8,-120.49,20.91,101.37,-136.48,48.28,105.39,-141.81,19,148.85,-114.22,-4.52,87.07,-130.56,37.43,42.63,-119.66,37.51,64.55,-128.85,19.54,64.55,-134.58,56.24,44.42,-59.22,-41.07,78.13,-133.22,-48.74,64.78,-109.405,-21.45,64.23,-107.68,-41.18,77.89,-128.78,-12.63,43.41,-59.26,-13.06,32.65,-104.82,24.55,40.27,-119.47,47.82,61.77,-100.84,-17.1,60.81,-97.55,-35.33,59.02,-107.4,-65.55,67.49,-120.32,-58.59,90.43,-140.77,-31.44,74.6,-131.81,-24.24,46.32,-70.82,-12.28,23.76,-79.79,20.515,42.56,-119.81,20.43,92.76,-136.72,49.19,88.06,-142.29,18.66,42.27,-112.37,-3.79,97.54,-151.81,25.59,93.62,-138.62,-48.06,97.51,-141.43,36.85,94.99,-137.37,-23.96,97.84,-140.44,58.27,96.18,-134.34,-12.96,97.73,-137.98,50.39
106.13,-134.315,42.83,146.245,-124.28,42.765,126.085,-132.675,23.575,126.18,-134.01,61.73,141.27,-73.78,-36.48,108.8,-137.785,-39.465,125.26,-123.145,-14.995,123.55,-119.065,-34.455,111.805,-138.17,-6.175,146.775,-72.47,-12.655,154.475,-113.17,28.935,148.265,-122.17,52.705,128.48,-114.375,-11.83,127.23,-109.375,-30.26,127.565,-110.785,-53.935,120.295,-120.47,-49.315,101.65,-150.525,-25.35,114.985,-142.13,-14.825,146.11,-81.27,-11.36,162.525,-88.44,19.535,146.425,-126.71,19.64,101.09,-138.415,50.245,105.75,-146.975,20.255,143.91,-122.325,6.465,86.13,-133.615,42.775,46.915,-121.085,42.68,66.855,-130.695,23.925,66.82,-132.985,61.325,50.53,-73.62,-33.16,83.455,-137.525,-37.86,69.16,-121.92,-13.285,69.19,-117.81,-32.16,81.285,-136.53,-3.35,47.17,-72.07,-10.015,38.58,-108.545,26.18,44.2,-118.4,51.555,65.075,-114.35,-9.56,65.485,-108.48,-28.33,63.81,-110.94,-49.985,71.085,-120.16,-46.56,92.525,-150.79,-24.815,78.725,-141.16,-13.29,48.28,-80.73,-9.015,31.345,-86.67,20.05,46.565,-123.295,19.98,91.34,-138.32,51.385,88.335,-147.125,22.64,49.51,-119.075,6.265,97.625,-152.52,31.96,96.405,-142.3,-36.38,96.435,-143.03,41.58,97.015,-149.925,-16.845,96.255,-139.555,63.055,97.335,-144.66,-3.345,96.295,-139.33,52.97
99.31,-143.425,42.11,139.91,-135.315,42.91,119.09,-145.13,24.37,118.76,-148.935,62.98,138.08,-84.975,-43.44,101.055,-147.7,-40.065,119.96,-125.67,-14.32,116.935,-126.27,-35.73,106.46,-143.75,-4.08,140.57,-81.29,-13.175,149.635,-119.235,32.24,141.665,-134.61,55.265,121.73,-116.805,-13.5,120.44,-115.505,-32.745,123.245,-118.205,-58.555,109.185,-134.21,-50.675,93.325,-156.905,-23.41,107.22,-146.775,-16.295,136.795,-88.275,-13.065,157.315,-94.245,25.16,140.805,-135.78,25.285,93.245,-149.44,52.985,94.625,-156.015,23.47,139.59,-127.59,7.6,77.31,-143.19,41.845,37.635,-133.545,42.55,57.385,-142.715,24.425,57.435,-148.39,61.57,39.295,-86.57,-46.325,70.61,-145.59,-41.08,57.28,-126.63,-12.73,56.13,-123.31,-34.965,70.66,-144.27,-2.02,37.085,-81.87,-15.4,29.77,-119.015,31.79,36.18,-133.705,54.035,54.24,-117.575,-9.795,53.73,-114.68,-32.93,53.26,-118.59,-60.995,63.165,-132.98,-52.005,84.19,-157.69,-23.595,68.96,-148,-14.82,38.8,-86.445,-16.725,21.075,-91.03,22.61,37.305,-132.9,22.235,84.36,-150.24,53.415,81.355,-157.285,23.89,40.195,-126.505,7.31,87.335,-165.38,26.43,86.035,-151.155,-38.255,87.89,-154.725,41.375,88.465,-153.595,-16.7,88.635,-153.62,63.425,88.545,-150.73,-7.51,88.585,-151.735,55.79
96.45,-141.675,30.615,132.775,-138.025,30.525,114.175,-145.925,16.265,115.705,-147.81,49.855,128.685,-90.945,-46.91,99.285,-151.215,-43.395,118.18,-134.28,-22.605,114.955,-133.365,-38.775,103.51,-149.545,-12.29,136.965,-87.04,-20.985,143.855,-122.225,21.325,135.275,-138.38,44.58,120.11,-124.675,-19.78,118.415,-121.63,-35.71,117.75,-125.67,-59.415,109.58,-136.73,-54.305,89.32,-163.955,-29.525,105.74,-155.86,-23.24,136.69,-94.43,-18.96,150.905,-102.76,11.195,132.35,-140.915,11.27,90.005,-149.085,37.93,94.005,-155.58,13.72,135.6,-131.005,-4.825,75.425,-140.18,30.66,39.305,-135.765,30.605,56.165,-143.84,15.845,57.9,-146.6,50.725,40.485,-84.94,-45.25,73.23,-150.5,-46.685,52.985,-133.665,-23.325,57.465,-131.955,-39.98,68.55,-147.76,-11.97,34.145,-82.35,-20.305,27.345,-119.15,21.3,36.985,-134.37,45.355,49.595,-124.165,-20.71,53.58,-121.495,-37.91,53.425,-123.64,-59.18,60.3,-133.7,-54.4,79.755,-164.78,-29.42,65.575,-155,-22.225,35.195,-92.245,-19.525,20.46,-101.155,12.11,39.305,-138.245,12.14,81.99,-147.69,38.075,76.385,-154.45,13.57,37.705,-129.46,-4.675,85.37,-157.35,18.565,82.75,-154.95,-41.365,85.51,-150.885,28.635,85.225,-160.425,-22.875,85.975,-155.145,55.1,84.205,-155.07,-12.965,85.895,-150.125,39.775
98.035,-138.705,26.67,134.17,-129.615,26.86,115.42,-138.05,8.855,115.415,-141.315,47.615,136.59,-87.645,-50.6,102.115,-146.51,-45.17,117.705,-126.53,-24.065,116.575,-124.985,-40.64,104.71,-139.99,-12.51,142.325,-81.8,-23.555,143.005,-115.175,15.685,137.48,-126.435,36.715,121.525,-117,-21.305,120.255,-116.11,-37.555,120.445,-123.11,-64.275,113.675,-132.995,-53.84,94.675,-154.655,-30.76,106.87,-145.19,-23.005,140.895,-87.885,-25.57,150.945,-89.48,8.56,134.655,-130.285,8.6,93.17,-143.71,34.085,97.48,-150.045,9.44,134.275,-124.51,-6.665,79.395,-140.17,26.64,42.795,-129.565,26.53,61.255,-138.18,8.3,61.035,-141.075,45.635,43.365,-87.41,-50.165,76.235,-146.24,-43.985,59.89,-126.39,-23.715,62.35,-123.96,-39.25,73.295,-141.5,-12.455,39.84,-80.665,-23.415,33.53,-113.805,15.055,38.885,-126.92,34.815,57.565,-117.3,-20.975,58.825,-115.72,-36.575,56.945,-121.285,-59.54,65.96,-134.575,-52.465,85.455,-154.815,-30.65,71.375,-146.5,-23.5,41.63,-88.14,-22.18,27.085,-92.005,8.185,42.735,-130.26,8.445,83.69,-144.295,34.095,80,-150.605,9.345,41.67,-121.175,-6.76,89.04,-155.95,18.76,89.965,-150.09,-42.13,88.4,-148.33,27.35,89.725,-152.64,-24.825,88.465,-145.92,48.875,88.965,-148.645,-13.615,88.575,-145.21,36.89
99.215,-131.23,34.685,139.585,-124.295,34.46,119.21,-133.835,18.28,119.3,-136.49,51.06,143.385,-67.905,-43.54,105.49,-135.86,-43.335,120.995,-120.935,-20.405,120.15,-117.655,-37.81,107.46,-135.365,-10.915,146.215,-67.655,-15.415,150.55,-108.735,21.86,142.415,-121.125,46.39,123.495,-112.755,-17.965,123.325,-107.61,-32.82,127.53,-108.25,-57.165,115.05,-124.135,-51.125,96.2,-149.585,-30.965,109.835,-140.19,-22.78,146.23,-79.635,-17.74,157.62,-84.975,16.065,139.59,-126.49,16.21,95.64,-137.05,41.535,99.565,-145.125,12.445,136.67,-122.81,-2.15,83.225,-130.765,34.18,43.76,-121.75,34.525,63.115,-132.93,17.985,63.185,-134.955,51.645,40.005,-69.465,-39.695,77.675,-135.525,-42.125,62.57,-119.56,-19.45,63.125,-117.11,-35.46,75.775,-135.505,-10.88,39.52,-67.46,-13.585,33.34,-106.385,21.695,41.025,-117.275,47.365,60.56,-110.9,-16.11,60.12,-107.36,-30.525,55.365,-109.2,-54.815,67.32,-124.32,-49.315,87.085,-148.685,-30.725,73.715,-140.45,-22.26,39.645,-77.93,-15.265,26.815,-84.12,16.495,43.06,-124.315,16.32,87.55,-136.74,41.085,82.98,-144.62,12.125,46.345,-121.15,-1.73,91.9,-150.77,18.755,91.255,-140.025,-41.63,91.765,-140.515,30.08,91.905,-146.92,-24.815,91.77,-143.275,57.295,91.765,-142.38,-13.935,91.615,-139.165,43.43
